,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,population,year,sqrt_of_population
,1,Switzerland,Western Europe,7.587,164.307622,149.5623944,154.404831,126.2506522,293.7795202,8300000,2015,2880.972058
1,2,Iceland,Western Europe,7.561,153.225614,150.5807334,145.8676407,185.6026671,98.99259883,330000,2015,574.4562647
2,3,Denmark,Western Europe,7.527,155.9505244,138.9516508,150.6489312,145.2278124,338.4224179,5690000,2015,2385.372088
3,4,Norway,Western Europe,7.522,171.6599383,140.6308776,155.3699047,147.6100607,255.4631909,5200000,2015,2280.35085
4,5,Canada,North America,7.427,156.0458256,143.8749469,146.8419939,194.8806735,230.6468066,36000000,2015,6000
5,6,Finland,Western Europe,7.406,151.8055075,141.2504599,148.8649368,99.33550035,289.5384799,5480000,2015,2340.939982
6,7,Netherlands,Western Europe,7.378,156.4164417,141.8430347,142.8494655,202.5336462,222.6476168,16900000,2015,4110.960958
7,8,Sweden,Western Europe,7.364,156.6835205,144.7074112,153.0662553,154.2590858,306.8385651,9760000,2015,3124.09987
8,9,New Zealand,Australia and New Zealand,7.286,147.0910361,144.3102431,148.3290426,202.0699585,300.3860252,4610000,2015,2147.091055
9,10,Australia,Australia and New Zealand,7.284,156.9035371,147.9943746,151.0804305,185.3133941,249.4025623,23900000,2015,4888.762625
10,11,Israel,Middle East and Northern Africa,7.278,144.5484924,145.184013,95.85548046,141.11418,54.48267104,7980000,2015,2824.889378
11,12,Costa Rica,Latin America and Caribbean,7.226,112.4531432,136.6687284,147.0252651,108.4646162,74.0642399,4850000,2015,2202.271555
12,13,Austria,Western Europe,7.2,157.332981,141.458576,144.8376101,140.7568428,130.7024232,8680000,2015,2946.183973
13,14,Mexico,Latin America and Caribbean,7.187,120.0725384,129.3878424,111.7745566,59.87100475,149.1502486,122000000,2015,11045.36102
14,15,United States,North America,7.119,164.0723102,136.9102067,126.6752016,170.6072648,111.2048353,321000000,2015,17916.47287
15,16,Brazil,Latin America and Caribbean,6.983,115.448662,110.73365,113.78822,61.99801216,122.6192523,204000000,2015,14282.85686
16,17,Luxembourg,Western Europe,6.946,184.0032174,145.9894699,142.8657047,119.2570518,264.52614,567000,2015,752.9940239
17,18,Ireland,Western Europe,6.94,157.1835581,142.2386142,143.3157631,195.2635348,200.8755436,4650000,2015,2156.385865
18,19,Belgium,Western Europe,6.937,153.8727214,142.4514963,135.5974935,94.65183002,157.7443038,11300000,2015,3361.547263
19,20,United Arab Emirates,Middle East and Northern Africa,6.901,167.9267171,128.5633214,148.8370982,112.425104,270.0198968,9260000,2015,3043.024811
20,21,United Kingdom,Western Europe,6.867,148.9958849,144.4786424,138.3233627,220.834418,224.4182161,65900000,2015,8117.881497
21,22,Oman,Middle East and Northern Africa,6.853,160.0249477,121.177583,146.7886365,91.63998751,227.6164923,4270000,2015,2066.397832
22,23,Venezuela,Latin America and Caribbean,6.81,122.8609829,114.4670304,99.54178358,24.84770063,77.46547023,30100000,2015,5486.34669
23,24,Singapore,Southeastern Asia,6.798,179.0557874,162.8786472,125.8586008,132.3211314,344.392067,5590000,2015,2364.318084
24,25,Panama,Latin America and Caribbean,6.786,125.1305649,126.5552394,125.7611655,103.9425984,64.87531927,3970000,2015,1992.485885
25,26,Germany,Western Europe,6.75,156.2376047,141.6873448,142.6197965,120.0227745,152.8664076,81800000,2015,9044.335244
26,27,Chile,Latin America and Caribbean,6.67,130.2627147,136.3986541,102.3813273,141.9266968,90.0626196,18000000,2015,4242.640687
27,28,Qatar,Middle East and Northern Africa,6.611,198.8878636,126.6696238,148.5656712,138.5660251,365.3733192,2570000,2015,1603.121954
28,29,France,Western Europe,6.575,150.3383386,150.2550556,127.6193963,52.46051091,144.4893033,64500000,2015,8031.189202
29,30,Argentina,Latin America and Caribbean,6.574,123.9516529,125.0650646,104.3346736,48.71272384,59.37456405,43100000,2015,6565.059025
30,31,Czech Republic,Central and Eastern Europe,6.505,138.713937,134.2158181,107.5593189,45.4584025,18.55980008,10600000,2015,3255.764119
31,32,Uruguay,Latin America and Caribbean,6.485,124.9105484,128.9366594,140.0331206,98.8633047,171.867108,3410000,2015,1846.618531
