,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,population,year,sqrt_of_population
0,1,Switzerland,Western Europe,7.587000000000001,1.3965100000000001,0.9414299999999999,0.66557,0.29678000000000004,0.41978000000000004,8300000.0,2015,2880.972058177587
1,2,Iceland,Western Europe,7.561,1.3023200000000001,0.94784,0.6287699999999999,0.4363,0.14145,330000.0,2015,574.4562646538029
2,3,Denmark,Western Europe,7.527,1.32548,0.87464,0.6493800000000001,0.34139,0.48357,5690000.0,2015,2385.3720883753126
3,4,Norway,Western Europe,7.522,1.459,0.88521,0.66973,0.34699,0.36503,5200000.0,2015,2280.350850198276
4,5,Canada,North America,7.4270000000000005,1.32629,0.9056299999999999,0.63297,0.45811,0.32957,36000000.0,2015,6000.0
5,6,Finland,Western Europe,7.406000000000001,1.29025,0.8891100000000001,0.64169,0.23351,0.41372,5480000.0,2015,2340.939982143925
6,7,Netherlands,Western Europe,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.4761,0.31814000000000003,16900000.0,2015,4110.960958218893
7,8,Sweden,Western Europe,7.364,1.33171,0.9108700000000001,0.6598,0.36262,0.43843999999999994,9760000.0,2015,3124.099870362662
8,9,New Zealand,Australia and New Zealand,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.47501000000000004,0.42922,4610000.0,2015,2147.091055358389
9,10,Australia,Australia and New Zealand,7.284,1.33358,0.93156,0.6512399999999999,0.43562,0.35636999999999996,23900000.0,2015,4888.762624632127
10,11,Israel,Middle East and Northern Africa,7.278,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.33171999999999996,0.07785,7980000.0,2015,2824.889378365107
11,12,Costa Rica,Latin America and Caribbean,7.226,0.95578,0.8602700000000001,0.63376,0.25497,0.10583,4850000.0,2015,2202.271554554524
12,13,Austria,Western Europe,7.2,1.33723,0.8904200000000001,0.62433,0.33088,0.18675999999999998,8680000.0,2015,2946.183972531247
13,14,Mexico,Latin America and Caribbean,7.187,1.02054,0.8144399999999999,0.48181,0.14074,0.21311999999999998,122000000.0,2015,11045.36101718726
14,15,United States,North America,7.119,1.3945100000000001,0.86179,0.54604,0.40105,0.1589,321000000.0,2015,17916.472867168915
15,16,Brazil,Latin America and Caribbean,6.983,0.98124,0.69702,0.49049,0.14574,0.17521,204000000.0,2015,14282.8568570857
16,17,Luxembourg,Western Europe,6.946000000000001,1.5639100000000001,0.91894,0.61583,0.28034000000000003,0.37798000000000004,567000.0,2015,752.994023880668
17,18,Ireland,Western Europe,6.94,1.33596,0.89533,0.6177699999999999,0.45901000000000003,0.28703,4650000.0,2015,2156.3858652847825
18,19,Belgium,Western Europe,6.937,1.30782,0.8966700000000001,0.5845,0.2225,0.2254,11300000.0,2015,3361.5472627943223
19,20,United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,0.80925,0.64157,0.26428,0.38583,9260000.0,2015,3043.024810940588
20,21,United Kingdom,Western Europe,6.867000000000001,1.26637,0.90943,0.59625,0.51912,0.32066999999999996,65900000.0,2015,8117.881497040961
21,22,Oman,Middle East and Northern Africa,6.853,1.36011,0.76276,0.63274,0.21541999999999997,0.32524000000000003,4270000.0,2015,2066.3978319771822
22,23,Venezuela,Latin America and Caribbean,6.81,1.04424,0.7205199999999999,0.42908,0.058410000000000004,0.11069000000000001,30100000.0,2015,5486.346689738081
23,24,Singapore,Southeastern Asia,6.797999999999999,1.52186,1.02525,0.54252,0.31105,0.4921,5590000.0,2015,2364.3180835073777
24,25,Panama,Latin America and Caribbean,6.7860000000000005,1.0635299999999999,0.79661,0.5421,0.24434,0.0927,3970000.0,2015,1992.4858845171275
25,26,Germany,Western Europe,6.75,1.32792,0.89186,0.6147699999999999,0.28214,0.21843,81800000.0,2015,9044.33524367601
26,27,Chile,Latin America and Caribbean,6.67,1.10715,0.85857,0.44132,0.33363000000000004,0.12869,18000000.0,2015,4242.640687119285
27,28,Qatar,Middle East and Northern Africa,6.611000000000001,1.69042,0.79733,0.6404,0.32573,0.52208,2570000.0,2015,1603.1219541881396
28,29,France,Western Europe,6.575,1.27778,0.9457899999999999,0.55011,0.12332,0.20646,64500000.0,2015,8031.189202104505
29,30,Argentina,Latin America and Caribbean,6.574,1.05351,0.78723,0.44974,0.11450999999999999,0.08484,43100000.0,2015,6565.059024867941
30,31,Czech Republic,Central and Eastern Europe,6.505,1.17898,0.84483,0.46363999999999994,0.10686,0.02652,10600000.0,2015,3255.764119219941
31,32,Uruguay,Latin America and Caribbean,6.485,1.06166,0.8116,0.6036199999999999,0.2324,0.24558000000000002,3410000.0,2015,1846.6185312619389
32,33,Colombia,Latin America and Caribbean,6.477,0.91861,0.69077,0.53466,0.18400999999999998,0.0512,47500000.0,2015,6892.024376045111
33,34,Thailand,Southeastern Asia,6.455,0.9669,0.7385,0.5566399999999999,0.5763,0.031869999999999996,68700000.0,2015,8288.546314040841
34,35,Saudi Arabia,Middle East and Northern Africa,6.4110000000000005,1.39541,0.72025,0.31048000000000003,0.13706,0.32524000000000003,31700000.0,2015,5630.2753041036985
35,36,Spain,Western Europe,6.329,1.23011,0.95562,0.45951000000000003,0.18227000000000002,0.06398,46700000.0,2015,6833.7398253079555
36,37,Malta,Western Europe,6.3020000000000005,1.2074,0.88721,0.60365,0.51752,0.13585999999999998,434000.0,2015,658.7867636800241
38,39,Kuwait,Middle East and Northern Africa,6.295,1.5542200000000002,0.72492,0.55499,0.16228,0.25609,3840000.0,2015,1959.5917942265426
39,40,Suriname,Latin America and Caribbean,6.269,0.99534,0.6082,0.5965699999999999,0.16990999999999998,0.13633,559000.0,2015,747.6630257007498
40,41,Trinidad and Tobago,Latin America and Caribbean,6.167999999999999,1.21183,0.61483,0.55884,0.31844,0.0114,1370000.0,2015,1170.4699910719626
41,42,El Salvador,Latin America and Caribbean,6.13,0.76454,0.67737,0.4035,0.10692,0.11775999999999999,6330000.0,2015,2515.949125081825
42,43,Guatemala,Latin America and Caribbean,6.122999999999999,0.74553,0.64425,0.57733,0.27489,0.09472,16300000.0,2015,4037.32584763727
43,44,Uzbekistan,Central and Eastern Europe,6.002999999999999,0.63244,0.59772,0.6582100000000001,0.22837,0.30826,30900000.0,2015,5558.776843874918
44,45,Slovakia,Central and Eastern Europe,5.995,1.1689100000000001,0.7890199999999999,0.31751,0.16893,0.03431,5440000.0,2015,2332.38075793812
45,46,Japan,Eastern Asia,5.987,1.27074,0.99111,0.49615,0.10705,0.1806,128000000.0,2015,11313.70849898476
46,47,South Korea,Eastern Asia,5.984,1.24461,0.9653799999999999,0.33208000000000004,0.18557,0.07857,50800000.0,2015,7127.411872482185
47,48,Ecuador,Latin America and Caribbean,5.975,0.8640200000000001,0.79075,0.48573999999999995,0.11540999999999998,0.1809,16200000.0,2015,4024.9223594996215
48,49,Bahrain,Middle East and Northern Africa,5.96,1.32376,0.74716,0.45492,0.17362,0.306,1370000.0,2015,1170.4699910719626
49,50,Italy,Western Europe,5.9479999999999995,1.25114,0.9544600000000001,0.26236,0.22823000000000002,0.02901,60600000.0,2015,7784.6001824114255
50,51,Bolivia,Latin America and Caribbean,5.89,0.68133,0.5392,0.57414,0.20536,0.08800000000000001,10900000.0,2015,3301.5148038438356
51,52,Moldova,Central and Eastern Europe,5.888999999999999,0.59448,0.61826,0.32818,0.20951,0.01615,4070000.0,2015,2017.4241001832015
52,53,Paraguay,Latin America and Caribbean,5.877999999999999,0.75985,0.66098,0.53899,0.3424,0.08242000000000001,6690000.0,2015,2586.5034312755124
53,54,Kazakhstan,Central and Eastern Europe,5.855,1.1225399999999999,0.64368,0.51649,0.11827,0.08454,17600000.0,2015,4195.235392680606
54,55,Slovenia,Central and Eastern Europe,5.848,1.18498,0.8733700000000001,0.60855,0.25328,0.03787,2070000.0,2015,1438.7494569938158
